embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
dinov2,linear,raw,APS,0.1,tbx11k_test,1260,5879,0.9064,0.9714,0.8996,1.7612,0.2388,0.0,0.0718,0.8857,0.9226,0.966,0.975
dinov2,linear,raw,APS,0.1,pakistan_ext,1260,3008,0.9458,0.9459,0.9455,1.4418,0.5582,0.0,0.0003,,,,
dinov2,linear,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9073,0.8927,0.9088,1.5392,0.4608,0.0,0.0162,0.8876,0.9207,0.8694,0.9231
dinov2,linear,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.8973,0.8865,0.9494,1.361,0.639,0.0,0.0629,,,,
dinov2,linear,raw,APS,0.2,tbx11k_test,1260,5879,0.812,0.9284,0.7998,1.5064,0.4936,0.0,0.1286,0.7918,0.8274,0.9141,0.9374
dinov2,linear,raw,APS,0.2,pakistan_ext,1260,3008,0.9049,0.9138,0.8619,1.2836,0.7164,0.0,0.0519,,,,
dinov2,linear,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8117,0.8104,0.8118,1.2827,0.7173,0.0,0.0015,0.7921,0.8284,0.7156,0.8766
dinov2,linear,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.8354,0.8276,0.8735,1.1782,0.8218,0.0,0.046,,,,
dinov2,linear,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9559,0.5367,1.0,1.2191,0.7809,0.0,0.4633,0.9559,0.9633,0.5367,0.6136
dinov2,linear,isotonic,APS,0.05,pakistan_ext,1260,3008,0.7267,0.6704,1.0,1.5771,0.4229,0.0,0.3296,,,,
dinov2,linear,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9502,0.9249,0.9528,1.6687,0.3313,0.0,0.028,0.9389,0.9879,0.9195,0.9714
dinov2,linear,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9239,0.9106,0.9883,1.4887,0.5113,0.0,0.0777,,,,
dinov2,linear,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9032,0.0,0.9981,0.9964,0.9964,0.0036,0.9981,0.8962,0.9269,0.0,0.2308
dinov2,linear,isotonic,APS,0.1,pakistan_ext,1260,3008,0.1709,0.0,1.0,0.9096,0.9096,0.0904,1.0,,,,
dinov2,linear,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9386,0.9195,0.9406,1.6421,0.3579,0.0,0.0211,0.9352,0.9391,0.8837,0.9249
dinov2,linear,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9199,0.9066,0.9844,1.4628,0.5372,0.0,0.0779,,,,
